id,year,name,date,position,game_id,posteam,ATT,COMP,FUM,HIT,INT,LONG,LST,PAT_Attempt,PAT_Made,PAT_percent,RATT,REC,RECTD,RECYDS,RTD,RYDS,SACK,TD,TGTS,YDS,attempt,long,longest,med,percent,short
00-0004541,2011,D.Driver,20110908,WR,2011090800,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,6.0,445.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0004541,2012,D.Driver,20120913,WR,2012091300,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,77.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0004811,2009,J.Elam,20090913,K,2009091300,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,29.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,375.0,3.0,5.833333333333334,8.0
00-0004915,2009,B.Engram,20090913,WR,2009091301,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,61.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0005091,2009,K.Faulk,20090914,WR,2009091400,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,37.0,1.0,301.0,2.0,335.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0005091,2010,K.Faulk,20100912,WR,2010091202,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,62.0,0.0,45.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0005091,2011,K.Faulk,20111030,RB,2011103008,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,7.0,0.0,34.0,0.0,57.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0005106,2009,B.Favre,20090913,QB,2009091304,MIN,531.0,364.0,1.0,77.0,7.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,-2.0,0.0,11.0,34.0,35.0,1.0,4202.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0005106,2010,B.Favre,20100909,QB,2010090900,MIN,354.0,217.0,6.0,61.0,18.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,16.0,21.0,14.0,0.0,2509.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0005113,2009,J.Feagles,20091108,WR,2009110809,NYG,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0005231,2009,B.Finneran,20090920,WR,2009092000,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,111.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0005231,2010,B.Finneran,20100912,RB,2010091209,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,166.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0005720,2009,J.Galloway,20090914,RB,2009091400,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,67.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0005720,2010,J.Galloway,20100912,RB,2010091212,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,173.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0005755,2009,J.Garcia,20090927,RB,2009092706,PHI,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0006101,2009,T.Gonzalez,20090913,WR,2009091300,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,6.0,867.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0006101,2010,T.Gonzalez,20100912,WR,2010091209,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,6.0,656.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0006101,2011,T.Gonzalez,20110911,WR,2011091105,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,7.0,875.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0006101,2012,T.Gonzalez,20120909,WR,2012090908,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,8.0,930.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0006101,2013,T.Gonzalez,20130908,WR,2013090808,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,8.0,849.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0006305,2009,A.Green,20091101,WR,2009110105,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,3.0,0.0,18.0,1.0,160.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0006800,2009,J.Hanson,20090913,K,2009091307,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,641.0,7.0,10.333333333333332,13.0
00-0006800,2010,J.Hanson,20100912,RB,2010091207,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,318.0,4.0,5.3,5.0
00-0006800,2011,J.Hanson,20110911,K,2011091106,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,5.0,652.0,2.0,11.366666666666667,17.0
00-0006800,2012,J.Hanson,20120909,K,2012090905,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,2.0,663.0,16.0,12.466666666666665,14.0
00-0007091,2009,M.Hasselbeck,20090913,QB,2009091311,SEA,486.0,293.0,5.0,70.0,17.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,121.0,32.0,18.0,0.0,3029.0,0.0,0.0,0.0,0.0,0.0,0.0
