Year,Coach,G,W,L,T,W-L%,G,W,L,Result,Offense,Defense,Team
,Al Saunders,8,3,5,0,0.375,0,0,0,,Ernie Zampese,Ron Lynn,Chragers
1985,Don Coryell,16,8,8,0,0.5,0,0,0,,Ernie Zampese,"Dave Adolph, Tom Bass",Chragers
1984,Don Coryell,16,7,9,0,0.438,0,0,0,,Ernie Zampese,Tom Bass,Chragers
1983,Don Coryell,16,6,10,0,0.375,0,0,0,,Ernie Zampese,Tom Bass,Chragers
1982,Don Coryell,9,6,3,0,0.667,2,1,1,Lost Div,Larrye Weaver,Tom Bass,Chragers
1981,Don Coryell,16,10,6,0,0.625,2,1,1,Lost Conf,Larrye Weaver,Jack Pardee,Chragers
1980,Don Coryell,16,11,5,0,0.688,2,1,1,Lost Conf,Joe Gibbs,Jackie Simpson,Chragers
1979,Don Coryell,16,12,4,0,0.75,1,0,1,Lost Div,Joe Gibbs,Jackie Simpson,Chragers
1978,Tommy Prothro,4,1,3,0,0.25,0,0,0,,Ray Perkins,Jackie Simpson,Chragers
,Don Coryell,12,8,4,0,0.667,0,0,0,,Ray Perkins,Jackie Simpson,Chragers
1977,Tommy Prothro,14,7,7,0,0.5,0,0,0,,Max Coley,,Chragers
1976,Tommy Prothro,14,6,8,0,0.429,0,0,0,,Bill Walsh,,Chragers
1975,Tommy Prothro,14,2,12,0,0.143,0,0,0,,,,Chragers
1974,Tommy Prothro,14,5,9,0,0.357,0,0,0,,,,Chragers
1973,Harland Svare,8,1,6,1,0.188,0,0,0,,,,Chragers
,Ron Waller,6,1,5,0,0.167,0,0,0,,,,Chragers
1972,Harland Svare,14,4,9,1,0.321,0,0,0,,,,Chragers
1971,Sid Gillman,10,4,6,0,0.4,0,0,0,,,,Chragers
,Harland Svare,4,2,2,0,0.5,0,0,0,,,,Chragers
1970,Charlie Waller,14,5,6,3,0.455,0,0,0,,,,Chragers
1969,Sid Gillman,9,4,5,0,0.444,0,0,0,,,,Chragers
,Charlie Waller,5,4,1,0,0.8,0,0,0,,,,Chragers
1968,Sid Gillman,14,9,5,0,0.643,0,0,0,,,,Chragers
1967,Sid Gillman,14,8,5,1,0.615,0,0,0,,,,Chragers
1966,Sid Gillman,14,7,6,1,0.538,0,0,0,,,,Chragers
1965,Sid Gillman,14,9,2,3,0.818,1,0,1,Lost Champ,,,Chragers
1964,Sid Gillman,14,8,5,1,0.615,1,0,1,Lost Champ,,,Chragers
1963,Sid Gillman,14,11,3,0,0.786,1,1,0,Won Champ,,,Chragers
1962,Sid Gillman,14,4,10,0,0.286,0,0,0,,,,Chragers
1961,Sid Gillman,14,12,2,0,0.857,1,0,1,Lost Champ,,,Chragers
1960,Sid Gillman,14,10,4,0,0.714,1,0,1,Lost Champ,,,Chragers
2018,Mike Vrabel,16,9,7,0,0.563,,,,,Matt LaFleur,Dean Pees,Titans
2017,Mike Mularkey,16,9,7,0,0.563,2,1,1,Lost Div,Terry Robiskie,Dick LeBeau,Titans
2016,Mike Mularkey,16,9,7,0,0.563,,,,,Terry Robiskie,Dick LeBeau,Titans
2015,Mike Mularkey,9,2,7,0,0.222,,,,,Jason Michael,Ray Horton,Titans
,Ken Whisenhunt,7,1,6,0,0.143,0,0,0,,Jason Michael,Ray Horton,Titans
2014,Ken Whisenhunt,16,2,14,0,0.125,0,0,0,,Jason Michael,Ray Horton,Titans
2013,Mike Munchak,16,7,9,0,0.438,0,0,0,,Dowell Loggains,Jerry Gray,Titans
2012,Mike Munchak,16,6,10,0,0.375,0,0,0,,Chris Palmer,Jerry Gray,Titans
2011,Mike Munchak,16,9,7,0,0.563,0,0,0,,Chris Palmer,Jerry Gray,Titans
2010,Jeff Fisher,16,6,10,0,0.375,0,0,0,,Mike Heimerdinger,Chuck Cecil,Titans
2009,Jeff Fisher,16,8,8,0,0.5,0,0,0,,Mike Heimerdinger,Chuck Cecil,Titans
2008,Jeff Fisher,16,13,3,0,0.813,1,0,1,Lost Div,Mike Heimerdinger,Jim Schwartz,Titans
2007,Jeff Fisher,16,10,6,0,0.625,1,0,1,Lost WC,Norm Chow,Jim Schwartz,Titans
2006,Jeff Fisher,16,8,8,0,0.5,0,0,0,,Norm Chow,Jim Schwartz,Titans
2005,Jeff Fisher,16,4,12,0,0.25,0,0,0,,Norm Chow,Jim Schwartz,Titans
2004,Jeff Fisher,16,5,11,0,0.313,0,0,0,,Mike Heimerdinger,Jim Schwartz,Titans
2003,Jeff Fisher,16,12,4,0,0.75,2,1,1,Lost Div,Mike Heimerdinger,Jim Schwartz,Titans
2002,Jeff Fisher,16,11,5,0,0.688,2,1,1,Lost Conf,Mike Heimerdinger,Jim Schwartz,Titans
2001,Jeff Fisher,16,7,9,0,0.438,0,0,0,,Mike Heimerdinger,Jim Schwartz,Titans
2000,Jeff Fisher,16,13,3,0,0.813,1,0,1,Lost Div,Mike Heimerdinger,Gregg Williams,Titans
1999,Jeff Fisher,16,13,3,0,0.813,4,3,1,Lost SB,Les Steckel,Gregg Williams,Titans
1998,Jeff Fisher,16,8,8,0,0.5,0,0,0,,Les Steckel,Gregg Williams,Titans
1997,Jeff Fisher,16,8,8,0,0.5,0,0,0,,Les Steckel,Gregg Williams,Titans
1996,Jeff Fisher,16,8,8,0,0.5,0,0,0,,Jerry Rhome,Steve Sidwell,Titans
1995,Jeff Fisher,16,7,9,0,0.438,0,0,0,,Jerry Rhome,Steve Sidwell,Titans
1994,Jeff Fisher,6,1,5,0,0.167,0,0,0,,"Dick Coury, Kevin Gilbride",,Titans
,Jack Pardee,10,1,9,0,0.1,0,0,0,,"Dick Coury, Kevin Gilbride",Jeff Fisher,Titans
1993,Jack Pardee,16,12,4,0,0.75,1,0,1,Lost Div,Kevin Gilbride,Buddy Ryan,Titans
1992,Jack Pardee,16,10,6,0,0.625,1,0,1,Lost WC,Kevin Gilbride,Jim Eddy,Titans
1991,Jack Pardee,16,11,5,0,0.688,2,1,1,Lost Div,Kevin Gilbride,Jim Eddy,Titans
1990,Jack Pardee,16,9,7,0,0.563,1,0,1,Lost WC,Kevin Gilbride,Jim Eddy,Titans
1989,Jerry Glanville,16,9,7,0,0.563,1,0,1,Lost WC,Kevin Gilbride,,Titans
1988,Jerry Glanville,16,10,6,0,0.625,2,1,1,Lost Div,,,Titans
1987,Jerry Glanville,15,9,6,0,0.6,2,1,1,Lost Div,,,Titans
1986,Jerry Glanville,16,5,11,0,0.313,0,0,0,,Dick Jamieson,,Titans
1985,Hugh Campbell,14,5,9,0,0.357,0,0,0,,Joe Faragalli,Jerry Glanville,Titans
,Jerry Glanville,2,0,2,0,0,0,0,0,,Joe Faragalli,,Titans
1984,Hugh Campbell,16,3,13,0,0.188,0,0,0,,Kay Dalton,Jerry Glanville,Titans
1983,Ed Biles,6,0,6,0,0,0,0,0,,Kay Dalton,Chuck Studley,Titans
,Chuck Studley,10,2,8,0,0.2,0,0,0,,Kay Dalton,,Titans
1982,Ed Biles,9,1,8,0,0.111,0,0,0,,Jim Shofner,,Titans
1981,Ed Biles,16,7,9,0,0.438,0,0,0,,Jim Shofner,Dick Nolan,Titans
1980,Bum Phillips,16,11,5,0,0.688,1,0,1,Lost WC,,Ed Biles,Titans
1979,Bum Phillips,16,11,5,0,0.688,3,2,1,Lost Conf,,Ed Biles,Titans
1978,Bum Phillips,16,10,6,0,0.625,3,2,1,Lost Conf,,Ed Biles,Titans
1977,Bum Phillips,14,8,6,0,0.571,0,0,0,,Ken Shipp,Ed Biles,Titans
1976,Bum Phillips,14,5,9,0,0.357,0,0,0,,King Hill,Ed Biles,Titans
1975,Bum Phillips,14,10,4,0,0.714,0,0,0,,King Hill,Ed Biles,Titans
1974,Sid Gillman,14,7,7,0,0.5,0,0,0,,,Bum Phillips,Titans
1973,Bill Peterson,5,0,5,0,0,0,0,0,,,,Titans
,Sid Gillman,9,1,8,0,0.111,0,0,0,,,,Titans
1972,Bill Peterson,14,1,13,0,0.071,0,0,0,,,,Titans
1971,Ed Hughes,14,4,9,1,0.308,0,0,0,,,,Titans
1970,Wally Lemm,14,3,10,1,0.231,0,0,0,,,,Titans
1969,Wally Lemm,14,6,6,2,0.5,1,0,1,Lost Div,,,Titans
1968,Wally Lemm,14,7,7,0,0.5,0,0,0,,,,Titans
1967,Wally Lemm,14,9,4,1,0.692,1,0,1,Lost Conf,,,Titans
1966,Wally Lemm,14,3,11,0,0.214,0,0,0,,,,Titans
