Year,Coach,G,W,L,T,W-L%,G,W,L,Result,Offense,Defense,Team
1973,George Allen,14,10,4,0,0.714,1,0,1,Lost Div,,LaVern Torgeson,Redskins
1972,George Allen,14,11,3,0,0.786,3,2,1,Lost SB,,LaVern Torgeson,Redskins
1971,George Allen,14,9,4,1,0.692,1,0,1,Lost Div,,LaVern Torgeson,Redskins
1970,Bill Austin,14,6,8,0,0.429,0,0,0,,,,Redskins
1969,Vince Lombardi,14,7,5,2,0.583,0,0,0,,,Harland Svare,Redskins
1968,Otto Graham,14,5,9,0,0.357,0,0,0,,,,Redskins
1967,Otto Graham,14,5,6,3,0.455,0,0,0,,,,Redskins
1966,Otto Graham,14,7,7,0,0.5,0,0,0,,,,Redskins
1965,Bill McPeak,14,6,8,0,0.429,0,0,0,,,,Redskins
1964,Bill McPeak,14,6,8,0,0.429,0,0,0,,,,Redskins
1963,Bill McPeak,14,3,11,0,0.214,0,0,0,,,,Redskins
1962,Bill McPeak,14,5,7,2,0.417,0,0,0,,,,Redskins
1961,Bill McPeak,14,1,12,1,0.077,0,0,0,,,,Redskins
1960,Mike Nixon,12,1,9,2,0.1,0,0,0,,,,Redskins
1959,Mike Nixon,12,3,9,0,0.25,0,0,0,,,,Redskins
1958,Joe Kuharich,12,4,7,1,0.364,0,0,0,,,,Redskins
1957,Joe Kuharich,12,5,6,1,0.455,0,0,0,,,,Redskins
1956,Joe Kuharich,12,6,6,0,0.5,0,0,0,,,,Redskins
1955,Joe Kuharich,12,8,4,0,0.667,0,0,0,,,,Redskins
1954,Joe Kuharich,12,3,9,0,0.25,0,0,0,,,,Redskins
1953,Curly Lambeau,12,6,5,1,0.545,0,0,0,,,,Redskins
1952,Curly Lambeau,12,4,8,0,0.333,0,0,0,,,,Redskins
1951,Herman Ball,3,0,3,0,0,0,0,0,,,,Redskins
,Dick Todd,9,5,4,0,0.556,0,0,0,,,,Redskins
1950,Herman Ball,12,3,9,0,0.25,0,0,0,,,,Redskins
1949,John Whelchel,7,3,3,1,0.5,0,0,0,,,,Redskins
,Herman Ball,5,1,4,0,0.2,0,0,0,,,,Redskins
1948,Turk Edwards,12,7,5,0,0.583,0,0,0,,,,Redskins
1947,Turk Edwards,12,4,8,0,0.333,0,0,0,,,,Redskins
1946,Turk Edwards,11,5,5,1,0.5,0,0,0,,,,Redskins
1945,Dudley DeGroot,10,8,2,0,0.8,1,0,1,Lost Champ,,,Redskins
1944,Dudley DeGroot,10,6,3,1,0.667,0,0,0,,,,Redskins
1943,Dutch Bergman,10,6,3,1,0.667,2,1,1,Lost Champ,,,Redskins
1942,Ray Flaherty,11,10,1,0,0.909,1,1,0,Won Champ,,,Redskins
1941,Ray Flaherty,11,6,5,0,0.545,0,0,0,,,,Redskins
1940,Ray Flaherty,11,9,2,0,0.818,1,0,1,Lost Champ,,,Redskins
1939,Ray Flaherty,11,8,2,1,0.8,0,0,0,,,,Redskins
1938,Ray Flaherty,11,6,3,2,0.667,0,0,0,,,,Redskins
1937,Ray Flaherty,11,8,3,0,0.727,1,1,0,Won Champ,,,Redskins
1936,Ray Flaherty,12,7,5,0,0.583,1,0,1,Lost Champ,,,Redskins
1935,Eddie Casey,11,2,8,1,0.2,0,0,0,,,,Redskins
1934,Lone Star Dietz,12,6,6,0,0.5,0,0,0,,,,Redskins
1933,Lone Star Dietz,12,5,5,2,0.5,0,0,0,,,,Redskins
1932,Lud Wray,10,4,4,2,0.5,0,0,0,,,,Redskins
2018,Sean Payton,16,13,3,0,0.813,2,1,1,Lost Conf,Pete Carmichael,Dennis Allen,Saints
2017,Sean Payton,16,11,5,0,0.688,2,1,1,Lost Div,Pete Carmichael,Dennis Allen,Saints
2016,Sean Payton,16,7,9,0,0.438,,,,,Pete Carmichael,Dennis Allen,Saints
2015,Sean Payton,16,7,9,0,0.438,,,,,Pete Carmichael,"Dennis Allen, Rob Ryan",Saints
2014,Sean Payton,16,7,9,0,0.438,0,0,0,,Pete Carmichael,Rob Ryan,Saints
2013,Sean Payton,16,11,5,0,0.688,2,1,1,Lost Div,Pete Carmichael,Rob Ryan,Saints
2012,Joe Vitt,10,5,5,0,0.5,0,0,0,,Pete Carmichael,Steve Spagnuolo,Saints
,Aaron Kromer,6,2,4,0,0.333,0,0,0,,Pete Carmichael,Steve Spagnuolo,Saints
2011,Sean Payton,16,13,3,0,0.813,2,1,1,Lost Div,Pete Carmichael,Gregg Williams,Saints
2010,Sean Payton,16,11,5,0,0.688,1,0,1,Lost WC,Pete Carmichael,Gregg Williams,Saints
2009,Sean Payton,16,13,3,0,0.813,3,3,0,Won SB,Pete Carmichael,Gregg Williams,Saints
2008,Sean Payton,16,8,8,0,0.5,0,0,0,,Doug Marrone,Gary Gibbs,Saints
2007,Sean Payton,16,7,9,0,0.438,0,0,0,,Doug Marrone,Gary Gibbs,Saints
2006,Sean Payton,16,10,6,0,0.625,2,1,1,Lost Conf,Doug Marrone,Gary Gibbs,Saints
2005,Jim Haslett,16,3,13,0,0.188,0,0,0,,Mike Sheppard,Rick Venturi,Saints
2004,Jim Haslett,16,8,8,0,0.5,0,0,0,,Mike McCarthy,Rick Venturi,Saints
2003,Jim Haslett,16,8,8,0,0.5,0,0,0,,Mike McCarthy,Rick Venturi,Saints
2002,Jim Haslett,16,9,7,0,0.563,0,0,0,,Mike McCarthy,Rick Venturi,Saints
2001,Jim Haslett,16,7,9,0,0.438,0,0,0,,Mike McCarthy,Ron Zook,Saints
2000,Jim Haslett,16,10,6,0,0.625,2,1,1,Lost Div,Mike McCarthy,Ron Zook,Saints
1999,Mike Ditka,16,3,13,0,0.188,0,0,0,,Danny Abramowicz,Zaven Yaralian,Saints
1998,Mike Ditka,16,6,10,0,0.375,0,0,0,,Danny Abramowicz,Zaven Yaralian,Saints
1997,Mike Ditka,16,6,10,0,0.375,0,0,0,,Danny Abramowicz,Zaven Yaralian,Saints
1996,Rick Venturi,8,1,7,0,0.125,0,0,0,,Carl Smith,Jim Haslett,Saints
,Jim Mora,8,2,6,0,0.25,0,0,0,,Carl Smith,Jim Haslett,Saints
1995,Jim Mora,16,7,9,0,0.438,0,0,0,,Carl Smith,Monte Kiffin,Saints
1994,Jim Mora,16,7,9,0,0.438,0,0,0,,Carl Smith,Steve Sidwell,Saints
1993,Jim Mora,16,8,8,0,0.5,0,0,0,,Carl Smith,Steve Sidwell,Saints
1992,Jim Mora,16,12,4,0,0.75,1,0,1,Lost WC,Carl Smith,Steve Sidwell,Saints
1991,Jim Mora,16,11,5,0,0.688,1,0,1,Lost WC,Carl Smith,Steve Sidwell,Saints
1990,Jim Mora,16,8,8,0,0.5,1,0,1,Lost WC,Carl Smith,Steve Sidwell,Saints
1989,Jim Mora,16,9,7,0,0.563,0,0,0,,Carl Smith,Steve Sidwell,Saints
1988,Jim Mora,16,10,6,0,0.625,0,0,0,,Carl Smith,Steve Sidwell,Saints
1987,Jim Mora,15,12,3,0,0.8,1,0,1,Lost WC,Carl Smith,Steve Sidwell,Saints
1986,Jim Mora,16,7,9,0,0.438,0,0,0,,Carl Smith,Steve Sidwell,Saints
1985,Bum Phillips,12,4,8,0,0.333,0,0,0,,"King Hill, John Levra",Wade Phillips,Saints
,Wade Phillips,4,1,3,0,0.25,0,0,0,,"King Hill, John Levra",,Saints
1984,Bum Phillips,16,7,9,0,0.438,0,0,0,,King Hill,Wade Phillips,Saints
1983,Bum Phillips,16,8,8,0,0.5,0,0,0,,King Hill,Wade Phillips,Saints
1982,Bum Phillips,9,4,5,0,0.444,0,0,0,,King Hill,Wade Phillips,Saints
1981,Bum Phillips,16,4,12,0,0.25,0,0,0,,King Hill,Wade Phillips,Saints
1980,Dick Nolan,12,0,12,0,0,0,0,0,,Dick Stanfel,,Saints
,Dick Stanfel,4,1,3,0,0.25,0,0,0,,,,Saints
1979,Dick Nolan,16,8,8,0,0.5,0,0,0,,,Paul Wiggin,Saints
1978,Dick Nolan,16,7,9,0,0.438,0,0,0,,,Paul Wiggin,Saints
1977,Hank Stram,14,3,11,0,0.214,0,0,0,,,,Saints
1976,Hank Stram,14,4,10,0,0.286,0,0,0,,,,Saints
1975,John North,6,1,5,0,0.167,0,0,0,,,,Saints
,Ernie Hefferle,8,1,7,0,0.125,0,0,0,,,,Saints
1974,John North,14,5,9,0,0.357,0,0,0,,,,Saints
1973,John North,14,5,9,0,0.357,0,0,0,,,,Saints
1972,J.D. Roberts,14,2,11,1,0.179,0,0,0,,,,Saints
1971,J.D. Roberts,14,4,8,2,0.333,0,0,0,,,,Saints
1970,Tom Fears,7,1,5,1,0.167,0,0,0,,,,Saints
,J.D. Roberts,7,1,6,0,0.143,0,0,0,,,,Saints
1969,Tom Fears,14,5,9,0,0.357,0,0,0,,,,Saints
1968,Tom Fears,14,4,9,1,0.308,0,0,0,,,,Saints
1967,Tom Fears,14,3,11,0,0.214,0,0,0,,,,Saints
2018,Dan Quinn,16,7,9,0,0.438,,,,,Steve Sarkisian,Marquand Manuel,Falcons
2017,Dan Quinn,16,10,6,0,0.625,2,1,1,Lost Div,Steve Sarkisian,Marquand Manuel,Falcons
2016,Dan Quinn,16,11,5,,,3,2,1,Lost SB,Kyle Shanahan,Richard Smith,Falcons
2015,Dan Quinn,16,8,8,0,0.5,0,0,0,,Kyle Shanahan,Richard Smith,Falcons
2014,Mike Smith,16,6,10,0,0.375,0,0,0,,Dirk Koetter,Mike Nolan,Falcons
2013,Mike Smith,16,4,12,0,0.25,0,0,0,,Dirk Koetter,Mike Nolan,Falcons
2012,Mike Smith,16,13,3,0,0.813,2,1,1,Lost Conf,Dirk Koetter,Mike Nolan,Falcons
2011,Mike Smith,16,10,6,0,0.625,1,0,1,Lost WC,Mike Mularkey,Brian VanGorder,Falcons
2010,Mike Smith,16,13,3,0,0.813,1,0,1,Lost Div,Mike Mularkey,Brian VanGorder,Falcons
2009,Mike Smith,16,9,7,0,0.563,0,0,0,,Mike Mularkey,Brian VanGorder,Falcons
2008,Mike Smith,16,11,5,0,0.688,1,0,1,Lost WC,Mike Mularkey,Brian VanGorder,Falcons
2007,Emmitt Thomas,3,1,2,0,0.333,0,0,0,,Hue Jackson,Mike Zimmer,Falcons
,Bobby Petrino,13,3,10,0,0.231,0,0,0,,Hue Jackson,Mike Zimmer,Falcons
2006,Jim Mora,16,7,9,0,0.438,0,0,0,,Greg Knapp,Ed Donatell,Falcons
2005,Jim Mora,16,8,8,0,0.5,0,0,0,,Greg Knapp,Ed Donatell,Falcons
2004,Jim Mora,16,11,5,0,0.688,2,1,1,Lost Conf,Greg Knapp,Ed Donatell,Falcons
2003,Wade Phillips,3,2,1,0,0.667,0,0,0,,Pete Mangurian,,Falcons
,Dan Reeves,13,3,10,0,0.231,0,0,0,,Pete Mangurian,Wade Phillips,Falcons
2002,Dan Reeves,16,9,6,1,0.594,2,1,1,Lost Div,,Wade Phillips,Falcons
2001,Dan Reeves,16,7,9,0,0.438,0,0,0,,George Sefcik,Don Blackmon,Falcons
2000,Dan Reeves,16,4,12,0,0.25,0,0,0,,George Sefcik,Rich Brooks,Falcons
1999,Dan Reeves,16,5,11,0,0.313,0,0,0,,George Sefcik,Rich Brooks,Falcons
1998,Dan Reeves,16,14,2,0,0.875,3,2,1,Lost SB,George Sefcik,Rich Brooks,Falcons
1997,Dan Reeves,16,7,9,0,0.438,0,0,0,,George Sefcik,Rich Brooks,Falcons
1996,June Jones,16,3,13,0,0.188,0,0,0,,,Rod Rust,Falcons
1995,June Jones,16,9,7,0,0.563,1,0,1,Lost WC,,Joe Haering,Falcons
1994,June Jones,16,7,9,0,0.438,0,0,0,,,Jim Bates,Falcons
1993,Jerry Glanville,16,6,10,0,0.375,0,0,0,,June Jones,Doug Shivley,Falcons
1992,Jerry Glanville,16,6,10,0,0.375,0,0,0,,June Jones,Doug Shivley,Falcons
1991,Jerry Glanville,16,10,6,0,0.625,2,1,1,Lost Div,June Jones,Doug Shivley,Falcons
1990,Jerry Glanville,16,5,11,0,0.313,0,0,0,,Ray Sherman,Doug Shivley,Falcons
1989,Jim Hanifan,4,0,4,0,0,0,0,0,,Rod Dowhower,,Falcons
,Marion Campbell,12,3,9,0,0.25,0,0,0,,Rod Dowhower,,Falcons
1988,Marion Campbell,16,5,11,0,0.313,0,0,0,,Rod Dowhower,,Falcons
1987,Marion Campbell,15,3,12,0,0.2,0,0,0,,Rod Dowhower,,Falcons
1986,Dan Henning,16,7,8,1,0.469,0,0,0,,,Marion Campbell,Falcons
1985,Dan Henning,16,4,12,0,0.25,0,0,0,,,John Marshall,Falcons
1984,Dan Henning,16,4,12,0,0.25,0,0,0,,Bob Fry,John Marshall,Falcons
1983,Dan Henning,16,7,9,0,0.438,0,0,0,,Bob Fry,John Marshall,Falcons
1982,Leeman Bennett,9,5,4,0,0.556,1,0,1,Lost WC,,Jerry Glanville,Falcons
1981,Leeman Bennett,16,7,9,0,0.438,0,0,0,,,Jerry Glanville,Falcons
1980,Leeman Bennett,16,12,4,0,0.75,1,0,1,Lost Div,,Jerry Glanville,Falcons
1979,Leeman Bennett,16,6,10,0,0.375,0,0,0,,,Jerry Glanville,Falcons
1978,Leeman Bennett,16,9,7,0,0.563,2,1,1,Lost Div,,,Falcons
1977,Leeman Bennett,14,7,7,0,0.5,0,0,0,,,,Falcons
1976,Marion Campbell,5,1,4,0,0.2,0,0,0,,"Bill Nelsen, John Rauch",Fred Bruney,Falcons
,Pat Peppler,9,3,6,0,0.333,0,0,0,,"Bill Nelsen, John Rauch",Fred Bruney,Falcons
1975,Marion Campbell,14,4,10,0,0.286,0,0,0,,Bill Nelsen,Fred Bruney,Falcons
1974,Norm Van Brocklin,8,2,6,0,0.25,0,0,0,,,Marion Campbell,Falcons
,Marion Campbell,6,1,5,0,0.167,0,0,0,,,,Falcons
1973,Norm Van Brocklin,14,9,5,0,0.643,0,0,0,,,Marion Campbell,Falcons
1972,Norm Van Brocklin,14,7,7,0,0.5,0,0,0,,,Marion Campbell,Falcons
1971,Norm Van Brocklin,14,7,6,1,0.538,0,0,0,,,Marion Campbell,Falcons
1970,Norm Van Brocklin,14,4,8,2,0.333,0,0,0,,,Marion Campbell,Falcons
1969,Norm Van Brocklin,14,6,8,0,0.429,0,0,0,,,Marion Campbell,Falcons
1968,Norb Hecker,3,0,3,0,0,0,0,0,,,,Falcons
,Norm Van Brocklin,11,2,9,0,0.182,0,0,0,,,,Falcons
1967,Norb Hecker,14,1,12,1,0.077,0,0,0,,,,Falcons
1966,Norb Hecker,14,3,11,0,0.214,0,0,0,,,,Falcons
2018,Ron Rivera,16,7,9,0,0.438,,,,,Norv Turner,Eric Washington,Panthers
2017,Ron Rivera,16,11,5,0,0.688,1,0,1,Lost WC,Mike Shula,Steve Wilks,Panthers
2016,Ron Rivera,16,6,10,0,0.375,,,,,Mike Shula,Sean McDermott,Panthers
2015,Ron Rivera,16,15,1,0,0.938,3,2,1,Lost SB,Mike Shula,Sean McDermott,Panthers
2014,Ron Rivera,16,7,8,1,0.469,2,1,1,Lost Div,Mike Shula,Sean McDermott,Panthers
2013,Ron Rivera,16,12,4,0,0.75,1,0,1,Lost Div,Mike Shula,Sean McDermott,Panthers
2012,Ron Rivera,16,7,9,0,0.438,0,0,0,,Rob Chudzinski,Sean McDermott,Panthers
2011,Ron Rivera,16,6,10,0,0.375,0,0,0,,Rob Chudzinski,Sean McDermott,Panthers
2010,John Fox,16,2,14,0,0.125,0,0,0,,Jeff Davidson,Ron Meeks,Panthers
2009,John Fox,16,8,8,0,0.5,0,0,0,,Jeff Davidson,Ron Meeks,Panthers
2008,John Fox,16,12,4,0,0.75,1,0,1,Lost Div,Jeff Davidson,Mike Trgovac,Panthers
2007,John Fox,16,7,9,0,0.438,0,0,0,,Jeff Davidson,Mike Trgovac,Panthers
2006,John Fox,16,8,8,0,0.5,0,0,0,,Dan Henning,Mike Trgovac,Panthers
2005,John Fox,16,11,5,0,0.688,3,2,1,Lost Conf,Dan Henning,Mike Trgovac,Panthers
2004,John Fox,16,7,9,0,0.438,0,0,0,,Dan Henning,Mike Trgovac,Panthers
2003,John Fox,16,11,5,0,0.688,4,3,1,Lost SB,Dan Henning,Mike Trgovac,Panthers
2002,John Fox,16,7,9,0,0.438,0,0,0,,Dan Henning,Jack Del Rio,Panthers
2001,George Seifert,16,1,15,0,0.063,0,0,0,,Richard Williamson,John Marshall,Panthers
2000,George Seifert,16,7,9,0,0.438,0,0,0,,"Bill Musgrave, Richard Williamson",John Marshall,Panthers
1999,George Seifert,16,8,8,0,0.5,0,0,0,,Gil Haskell,John Marshall,Panthers
1998,Dom Capers,16,4,12,0,0.25,0,0,0,,Gil Haskell,Vic Fangio,Panthers
1997,Dom Capers,16,7,9,0,0.438,0,0,0,,Joe Pendry,Vic Fangio,Panthers
1996,Dom Capers,16,12,4,0,0.75,2,1,1,Lost Conf,Joe Pendry,Vic Fangio,Panthers
1995,Dom Capers,16,7,9,0,0.438,0,0,0,,Joe Pendry,Vic Fangio,Panthers
2018,Dirk Koetter,16,5,11,0,0.313,,,,,Todd Monken,"Mark Duffner, Mike Smith",Buccaneers
2017,Dirk Koetter,16,5,11,0,0.313,,,,,Todd Monken,Mike Smith,Buccaneers
2016,Dirk Koetter,16,9,7,0,0.563,,,,,Todd Monken,Mike Smith,Buccaneers
2015,Lovie Smith,16,6,10,0,0.375,,,,,Dirk Koetter,Leslie Frazier,Buccaneers
2014,Lovie Smith,16,2,14,0,0.125,0,0,0,,Jeff Tedford,Leslie Frazier,Buccaneers
2013,Greg Schiano,16,4,12,0,0.25,0,0,0,,Mike Sullivan,Bill Sheridan,Buccaneers
2012,Greg Schiano,16,7,9,0,0.438,0,0,0,,Mike Sullivan,Bill Sheridan,Buccaneers
2011,Raheem Morris,16,4,12,0,0.25,0,0,0,,Greg Olson,Keith Millard,Buccaneers
2010,Raheem Morris,16,10,6,0,0.625,0,0,0,,Greg Olson,,Buccaneers
2009,Raheem Morris,16,3,13,0,0.188,0,0,0,,Greg Olson,,Buccaneers
2008,Jon Gruden,16,9,7,0,0.563,0,0,0,,Bill Muir,Monte Kiffin,Buccaneers
2007,Jon Gruden,16,9,7,0,0.563,1,0,1,Lost WC,Bill Muir,Monte Kiffin,Buccaneers
2006,Jon Gruden,16,4,12,0,0.25,0,0,0,,Bill Muir,Monte Kiffin,Buccaneers
2005,Jon Gruden,16,11,5,0,0.688,1,0,1,Lost WC,Bill Muir,Monte Kiffin,Buccaneers
2004,Jon Gruden,16,5,11,0,0.313,0,0,0,,Bill Muir,Monte Kiffin,Buccaneers
2003,Jon Gruden,16,7,9,0,0.438,0,0,0,,Bill Muir,Monte Kiffin,Buccaneers
2002,Jon Gruden,16,12,4,0,0.75,3,3,0,Won SB,Bill Muir,Monte Kiffin,Buccaneers
2001,Tony Dungy,16,9,7,0,0.563,1,0,1,Lost WC,Clyde Christensen,Monte Kiffin,Buccaneers
2000,Tony Dungy,16,10,6,0,0.625,1,0,1,Lost WC,Les Steckel,Monte Kiffin,Buccaneers
1999,Tony Dungy,16,11,5,0,0.688,2,1,1,Lost Conf,Mike Shula,Monte Kiffin,Buccaneers
1998,Tony Dungy,16,8,8,0,0.5,0,0,0,,Mike Shula,Monte Kiffin,Buccaneers
1997,Tony Dungy,16,10,6,0,0.625,2,1,1,Lost Div,Mike Shula,Monte Kiffin,Buccaneers
1996,Tony Dungy,16,6,10,0,0.375,0,0,0,,Mike Shula,Monte Kiffin,Buccaneers
1995,Sam Wyche,16,7,9,0,0.438,0,0,0,,,Rusty Tillman,Buccaneers
1994,Sam Wyche,16,6,10,0,0.375,0,0,0,,,Floyd Peters,Buccaneers
1993,Sam Wyche,16,5,11,0,0.313,0,0,0,,,Floyd Peters,Buccaneers
1992,Sam Wyche,16,5,11,0,0.313,0,0,0,,,Floyd Peters,Buccaneers
1991,Richard Williamson,16,3,13,0,0.188,0,0,0,,Hank Kuhlmann,Floyd Peters,Buccaneers
1990,Richard Williamson,3,1,2,0,0.333,0,0,0,,,Fred Bruney,Buccaneers
,Ray Perkins,13,5,8,0,0.385,0,0,0,,,Fred Bruney,Buccaneers
1989,Ray Perkins,16,5,11,0,0.313,0,0,0,,,Doug Graber,Buccaneers
1988,Ray Perkins,16,5,11,0,0.313,0,0,0,,,Doug Graber,Buccaneers
1987,Ray Perkins,15,4,11,0,0.267,0,0,0,,,Doug Graber,Buccaneers
1986,Leeman Bennett,16,2,14,0,0.125,0,0,0,,Jimmy Raye,Jim Stanley,Buccaneers
1985,Leeman Bennett,16,2,14,0,0.125,0,0,0,,Jimmy Raye,Doug Shivley,Buccaneers
1984,John McKay,16,6,10,0,0.375,0,0,0,,,Wayne Fontes,Buccaneers
1983,John McKay,16,2,14,0,0.125,0,0,0,,,Wayne Fontes,Buccaneers
1982,John McKay,9,5,4,0,0.556,1,0,1,Lost WC,,Wayne Fontes,Buccaneers
1981,John McKay,16,9,7,0,0.563,1,0,1,Lost Div,,Tom Bass,Buccaneers
1980,John McKay,16,5,10,1,0.344,0,0,0,,,Tom Bass,Buccaneers
1979,John McKay,16,10,6,0,0.625,2,1,1,Lost Conf,,Tom Bass,Buccaneers
1978,John McKay,16,5,11,0,0.313,0,0,0,,Joe Gibbs,Tom Bass,Buccaneers
1977,John McKay,14,2,12,0,0.143,0,0,0,,,,Buccaneers
1976,John McKay,14,0,14,0,0,0,0,0,,John Rauch,Abe Gibron,Buccaneers
2018,Matt Nagy,16,12,4,0,0.75,1,0,1,Lost WC,Mark Helfrich,Vic Fangio,Bears
2017,John Fox,16,5,11,0,0.313,,,,,Dowell Loggains,Vic Fangio,Bears
2016,John Fox,16,3,13,0,0.188,,,,,Dowell Loggains,Vic Fangio,Bears
2015,John Fox,16,6,10,0,0.375,,,,,Adam Gase,Vic Fangio,Bears
2014,Marc Trestman,16,5,11,0,0.313,0,0,0,,Aaron Kromer,Mel Tucker,Bears
2013,Marc Trestman,16,8,8,0,0.5,0,0,0,,Aaron Kromer,Mel Tucker,Bears
2012,Lovie Smith,16,10,6,0,0.625,0,0,0,,Mike Tice,Rod Marinelli,Bears
2011,Lovie Smith,16,8,8,0,0.5,0,0,0,,Mike Martz,Rod Marinelli,Bears
2010,Lovie Smith,16,11,5,0,0.688,2,1,1,Lost Conf,Mike Martz,Rod Marinelli,Bears
2009,Lovie Smith,16,7,9,0,0.438,0,0,0,,Ron Turner,Bob Babich,Bears
2008,Lovie Smith,16,9,7,0,0.563,0,0,0,,Ron Turner,Bob Babich,Bears
2007,Lovie Smith,16,7,9,0,0.438,0,0,0,,Ron Turner,Bob Babich,Bears
2006,Lovie Smith,16,13,3,0,0.813,3,2,1,Lost SB,Ron Turner,Ron Rivera,Bears
2005,Lovie Smith,16,11,5,0,0.688,1,0,1,Lost Div,Ron Turner,Ron Rivera,Bears
2004,Lovie Smith,16,5,11,0,0.313,0,0,0,,Terry Shea,Ron Rivera,Bears
2003,Dick Jauron,16,7,9,0,0.438,0,0,0,,John Shoop,Greg Blache,Bears
2002,Dick Jauron,16,4,12,0,0.25,0,0,0,,John Shoop,Greg Blache,Bears
2001,Dick Jauron,16,13,3,0,0.813,1,0,1,Lost Div,John Shoop,Greg Blache,Bears
2000,Dick Jauron,16,5,11,0,0.313,0,0,0,,Gary Crowton,Greg Blache,Bears
1999,Dick Jauron,16,6,10,0,0.375,0,0,0,,Gary Crowton,Greg Blache,Bears
1998,Dave Wannstedt,16,4,12,0,0.25,0,0,0,,Matt Cavanaugh,Bob Slowik,Bears
1997,Dave Wannstedt,16,4,12,0,0.25,0,0,0,,Matt Cavanaugh,Bob Slowik,Bears
1996,Dave Wannstedt,16,7,9,0,0.438,0,0,0,,Ron Turner,Bob Slowik,Bears
1995,Dave Wannstedt,16,9,7,0,0.563,0,0,0,,Ron Turner,Bob Slowik,Bears
1994,Dave Wannstedt,16,9,7,0,0.563,2,1,1,Lost Div,Ron Turner,Bob Slowik,Bears
1993,Dave Wannstedt,16,7,9,0,0.438,0,0,0,,Ron Turner,Bob Slowik,Bears
1992,Mike Ditka,16,5,11,0,0.313,0,0,0,,Greg Landry,Vince Tobin,Bears
1991,Mike Ditka,16,11,5,0,0.688,1,0,1,Lost WC,Greg Landry,Vince Tobin,Bears
1990,Mike Ditka,16,11,5,0,0.688,2,1,1,Lost Div,Greg Landry,Vince Tobin,Bears
1989,Mike Ditka,16,6,10,0,0.375,0,0,0,,Greg Landry,Vince Tobin,Bears
1988,Mike Ditka,16,12,4,0,0.75,2,1,1,Lost Conf,Ed Hughes,Vince Tobin,Bears
1987,Mike Ditka,15,11,4,0,0.733,1,0,1,Lost Div,Ed Hughes,Vince Tobin,Bears
1986,Mike Ditka,16,14,2,0,0.875,1,0,1,Lost Div,Ed Hughes,Vince Tobin,Bears
1985,Mike Ditka,16,15,1,0,0.938,3,3,0,Won SB,Ed Hughes,Buddy Ryan,Bears
1984,Mike Ditka,16,10,6,0,0.625,2,1,1,Lost Conf,Ed Hughes,Buddy Ryan,Bears
1983,Mike Ditka,16,8,8,0,0.5,0,0,0,,Ed Hughes,Buddy Ryan,Bears
1982,Mike Ditka,9,3,6,0,0.333,0,0,0,,Ed Hughes,Buddy Ryan,Bears
1981,Neill Armstrong,16,6,10,0,0.375,0,0,0,,Ted Marchibroda,Buddy Ryan,Bears
1980,Neill Armstrong,16,7,9,0,0.438,0,0,0,,Ken Meyer,Buddy Ryan,Bears
1979,Neill Armstrong,16,10,6,0,0.625,1,0,1,Lost WC,Ken Meyer,Buddy Ryan,Bears
1978,Neill Armstrong,16,7,9,0,0.438,0,0,0,,Ken Meyer,Buddy Ryan,Bears
1977,Jack Pardee,14,9,5,0,0.643,1,0,1,Lost Div,,,Bears
1976,Jack Pardee,14,7,7,0,0.5,0,0,0,,,,Bears
1975,Jack Pardee,14,4,10,0,0.286,0,0,0,,,,Bears
1974,Abe Gibron,14,4,10,0,0.286,0,0,0,,,,Bears
1973,Abe Gibron,14,3,11,0,0.214,0,0,0,,,,Bears
1972,Abe Gibron,14,4,9,1,0.321,0,0,0,,,,Bears
1971,Jim Dooley,14,6,8,0,0.429,0,0,0,,,,Bears
1970,Jim Dooley,14,6,8,0,0.429,0,0,0,,,,Bears
1969,Jim Dooley,14,1,13,0,0.071,0,0,0,,,,Bears
1968,Jim Dooley,14,7,7,0,0.5,0,0,0,,,,Bears
1967,George Halas,14,7,6,1,0.538,0,0,0,,,,Bears
1966,George Halas,14,5,7,2,0.417,0,0,0,,,,Bears
1965,George Halas,14,9,5,0,0.643,0,0,0,,,,Bears
1964,George Halas,14,5,9,0,0.357,0,0,0,,,,Bears
1963,George Halas,14,11,1,2,0.917,1,1,0,Won Champ,,,Bears
1962,George Halas,14,9,5,0,0.643,0,0,0,,,,Bears
1961,George Halas,14,8,6,0,0.571,0,0,0,,,,Bears
1960,George Halas,12,5,6,1,0.455,0,0,0,,,,Bears
1959,George Halas,12,8,4,0,0.667,0,0,0,,,,Bears
1958,George Halas,12,8,4,0,0.667,0,0,0,,,,Bears
1957,Paddy Driscoll,12,5,7,0,0.417,0,0,0,,,,Bears
1956,Paddy Driscoll,12,9,2,1,0.818,1,0,1,Lost Champ,,,Bears
1955,George Halas,12,8,4,0,0.667,0,0,0,,,,Bears
1954,George Halas,12,8,4,0,0.667,0,0,0,,,,Bears
1953,George Halas,12,3,8,1,0.273,0,0,0,,,,Bears
1952,George Halas,12,5,7,0,0.417,0,0,0,,,,Bears
1951,George Halas,12,7,5,0,0.583,0,0,0,,,,Bears
1950,George Halas,12,9,3,0,0.75,1,0,1,Lost Div,,,Bears
1949,George Halas,12,9,3,0,0.75,0,0,0,,,,Bears
1948,George Halas,12,10,2,0,0.833,0,0,0,,,,Bears
1947,George Halas,12,8,4,0,0.667,0,0,0,,,,Bears
