Coach,Defense,Offense,Team,Week,Year
Chuck Pagano,Greg Manusky,"Rob Chudzinski, Pep Hamilton",Colts,14,2015
Chuck Pagano,Greg Manusky,"Rob Chudzinski, Pep Hamilton",Colts,15,2015
Chuck Pagano,Greg Manusky,"Rob Chudzinski, Pep Hamilton",Colts,16,2015
Chuck Pagano,Greg Manusky,"Rob Chudzinski, Pep Hamilton",Colts,17,2015
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,1,2016
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,2,2016
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,3,2016
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,4,2016
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,5,2016
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,6,2016
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,7,2016
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,8,2016
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,9,2016
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,10,2016
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,11,2016
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,12,2016
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,13,2016
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,14,2016
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,15,2016
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,16,2016
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,17,2016
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,1,2017
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,2,2017
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,3,2017
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,4,2017
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,5,2017
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,6,2017
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,7,2017
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,8,2017
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,9,2017
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,10,2017
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,11,2017
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,12,2017
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,13,2017
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,14,2017
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,15,2017
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,16,2017
Chuck Pagano,Ted Monachino,Rob Chudzinski,Colts,17,2017
Frank Reich,Matt Eberflus,Nick Sirianni,Colts,1,2018
Frank Reich,Matt Eberflus,Nick Sirianni,Colts,2,2018
Frank Reich,Matt Eberflus,Nick Sirianni,Colts,3,2018
Frank Reich,Matt Eberflus,Nick Sirianni,Colts,4,2018
Frank Reich,Matt Eberflus,Nick Sirianni,Colts,5,2018
Frank Reich,Matt Eberflus,Nick Sirianni,Colts,6,2018
Frank Reich,Matt Eberflus,Nick Sirianni,Colts,7,2018
Frank Reich,Matt Eberflus,Nick Sirianni,Colts,8,2018
Frank Reich,Matt Eberflus,Nick Sirianni,Colts,9,2018
Frank Reich,Matt Eberflus,Nick Sirianni,Colts,10,2018
Frank Reich,Matt Eberflus,Nick Sirianni,Colts,11,2018
Frank Reich,Matt Eberflus,Nick Sirianni,Colts,12,2018
Frank Reich,Matt Eberflus,Nick Sirianni,Colts,13,2018
Frank Reich,Matt Eberflus,Nick Sirianni,Colts,14,2018
Frank Reich,Matt Eberflus,Nick Sirianni,Colts,15,2018
Frank Reich,Matt Eberflus,Nick Sirianni,Colts,16,2018
Frank Reich,Matt Eberflus,Nick Sirianni,Colts,17,2018
Mike Mularkey,Mel Tucker,Bob Bratkowski,Jaguars,1,2012
Mike Mularkey,Mel Tucker,Bob Bratkowski,Jaguars,2,2012
Mike Mularkey,Mel Tucker,Bob Bratkowski,Jaguars,3,2012
Mike Mularkey,Mel Tucker,Bob Bratkowski,Jaguars,4,2012
Mike Mularkey,Mel Tucker,Bob Bratkowski,Jaguars,5,2012
Mike Mularkey,Mel Tucker,Bob Bratkowski,Jaguars,6,2012
Mike Mularkey,Mel Tucker,Bob Bratkowski,Jaguars,7,2012
Mike Mularkey,Mel Tucker,Bob Bratkowski,Jaguars,8,2012
Mike Mularkey,Mel Tucker,Bob Bratkowski,Jaguars,9,2012
Mike Mularkey,Mel Tucker,Bob Bratkowski,Jaguars,10,2012
Mike Mularkey,Mel Tucker,Bob Bratkowski,Jaguars,11,2012
Mike Mularkey,Mel Tucker,Bob Bratkowski,Jaguars,12,2012
Mike Mularkey,Mel Tucker,Bob Bratkowski,Jaguars,13,2012
Mike Mularkey,Mel Tucker,Bob Bratkowski,Jaguars,14,2012
Mike Mularkey,Mel Tucker,Bob Bratkowski,Jaguars,15,2012
Mike Mularkey,Mel Tucker,Bob Bratkowski,Jaguars,16,2012
Mike Mularkey,Mel Tucker,Bob Bratkowski,Jaguars,17,2012
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,1,2013
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,2,2013
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,3,2013
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,4,2013
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,5,2013
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,6,2013
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,7,2013
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,8,2013
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,9,2013
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,10,2013
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,11,2013
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,12,2013
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,13,2013
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,14,2013
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,15,2013
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,16,2013
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,17,2013
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,1,2014
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,2,2014
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,3,2014
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,4,2014
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,5,2014
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,6,2014
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,7,2014
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,8,2014
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,9,2014
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,10,2014
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,11,2014
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,12,2014
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,13,2014
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,14,2014
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,15,2014
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,16,2014
Gus Bradley,Bob Babich,Jedd Fisch,Jaguars,17,2014
Gus Bradley,Bob Babich,Greg Olson,Jaguars,1,2015
Gus Bradley,Bob Babich,Greg Olson,Jaguars,2,2015
Gus Bradley,Bob Babich,Greg Olson,Jaguars,3,2015
Gus Bradley,Bob Babich,Greg Olson,Jaguars,4,2015
Gus Bradley,Bob Babich,Greg Olson,Jaguars,5,2015
Gus Bradley,Bob Babich,Greg Olson,Jaguars,6,2015
Gus Bradley,Bob Babich,Greg Olson,Jaguars,7,2015
Gus Bradley,Bob Babich,Greg Olson,Jaguars,8,2015
Gus Bradley,Bob Babich,Greg Olson,Jaguars,9,2015
Gus Bradley,Bob Babich,Greg Olson,Jaguars,10,2015
Gus Bradley,Bob Babich,Greg Olson,Jaguars,11,2015
Gus Bradley,Bob Babich,Greg Olson,Jaguars,12,2015
Gus Bradley,Bob Babich,Greg Olson,Jaguars,13,2015
Gus Bradley,Bob Babich,Greg Olson,Jaguars,14,2015
Gus Bradley,Bob Babich,Greg Olson,Jaguars,15,2015
Gus Bradley,Bob Babich,Greg Olson,Jaguars,16,2015
Gus Bradley,Bob Babich,Greg Olson,Jaguars,17,2015
Gus Bradley,Todd Wash,"Nathaniel Hackett, Greg Olson",Jaguars,1,2016
Gus Bradley,Todd Wash,"Nathaniel Hackett, Greg Olson",Jaguars,2,2016
Gus Bradley,Todd Wash,"Nathaniel Hackett, Greg Olson",Jaguars,3,2016
Gus Bradley,Todd Wash,"Nathaniel Hackett, Greg Olson",Jaguars,4,2016
Gus Bradley,Todd Wash,"Nathaniel Hackett, Greg Olson",Jaguars,5,2016
Gus Bradley,Todd Wash,"Nathaniel Hackett, Greg Olson",Jaguars,6,2016
Gus Bradley,Todd Wash,"Nathaniel Hackett, Greg Olson",Jaguars,7,2016
Gus Bradley,Todd Wash,"Nathaniel Hackett, Greg Olson",Jaguars,8,2016
Gus Bradley,Todd Wash,"Nathaniel Hackett, Greg Olson",Jaguars,9,2016
Gus Bradley,Todd Wash,"Nathaniel Hackett, Greg Olson",Jaguars,10,2016
Gus Bradley,Todd Wash,"Nathaniel Hackett, Greg Olson",Jaguars,11,2016
Gus Bradley,Todd Wash,"Nathaniel Hackett, Greg Olson",Jaguars,12,2016
Gus Bradley,Todd Wash,"Nathaniel Hackett, Greg Olson",Jaguars,13,2016
Gus Bradley,Todd Wash,"Nathaniel Hackett, Greg Olson",Jaguars,14,2016
Gus Bradley,Todd Wash,"Nathaniel Hackett, Greg Olson",Jaguars,15,2016
Doug Marrone,Todd Wash,"Nathaniel Hackett, Greg Olson",Jaguars,16,2016
Doug Marrone,Todd Wash,"Nathaniel Hackett, Greg Olson",Jaguars,17,2016
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,1,2017
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,2,2017
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,3,2017
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,4,2017
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,5,2017
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,6,2017
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,7,2017
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,8,2017
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,9,2017
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,10,2017
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,11,2017
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,12,2017
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,13,2017
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,14,2017
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,15,2017
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,16,2017
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,17,2017
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,1,2018
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,2,2018
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,3,2018
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,4,2018
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,5,2018
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,6,2018
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,7,2018
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,8,2018
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,9,2018
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,10,2018
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,11,2018
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,12,2018
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,13,2018
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,14,2018
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,15,2018
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,16,2018
Doug Marrone,Todd Wash,Nathaniel Hackett,Jaguars,17,2018
Mike Munchak,Jerry Gray,Chris Palmer,Titans,1,2012
Mike Munchak,Jerry Gray,Chris Palmer,Titans,2,2012
Mike Munchak,Jerry Gray,Chris Palmer,Titans,3,2012
Mike Munchak,Jerry Gray,Chris Palmer,Titans,4,2012
Mike Munchak,Jerry Gray,Chris Palmer,Titans,5,2012
Mike Munchak,Jerry Gray,Chris Palmer,Titans,6,2012
Mike Munchak,Jerry Gray,Chris Palmer,Titans,7,2012
Mike Munchak,Jerry Gray,Chris Palmer,Titans,8,2012
Mike Munchak,Jerry Gray,Chris Palmer,Titans,9,2012
Mike Munchak,Jerry Gray,Chris Palmer,Titans,10,2012
Mike Munchak,Jerry Gray,Chris Palmer,Titans,11,2012
Mike Munchak,Jerry Gray,Chris Palmer,Titans,12,2012
Mike Munchak,Jerry Gray,Chris Palmer,Titans,13,2012
Mike Munchak,Jerry Gray,Chris Palmer,Titans,14,2012
Mike Munchak,Jerry Gray,Chris Palmer,Titans,15,2012
Mike Munchak,Jerry Gray,Chris Palmer,Titans,16,2012
Mike Munchak,Jerry Gray,Chris Palmer,Titans,17,2012
Mike Munchak,Jerry Gray,Dowell Loggains,Titans,1,2013
Mike Munchak,Jerry Gray,Dowell Loggains,Titans,2,2013
Mike Munchak,Jerry Gray,Dowell Loggains,Titans,3,2013
Mike Munchak,Jerry Gray,Dowell Loggains,Titans,4,2013
Mike Munchak,Jerry Gray,Dowell Loggains,Titans,5,2013
Mike Munchak,Jerry Gray,Dowell Loggains,Titans,6,2013
Mike Munchak,Jerry Gray,Dowell Loggains,Titans,7,2013
Mike Munchak,Jerry Gray,Dowell Loggains,Titans,8,2013
Mike Munchak,Jerry Gray,Dowell Loggains,Titans,9,2013
Mike Munchak,Jerry Gray,Dowell Loggains,Titans,10,2013
Mike Munchak,Jerry Gray,Dowell Loggains,Titans,11,2013
Mike Munchak,Jerry Gray,Dowell Loggains,Titans,12,2013
Mike Munchak,Jerry Gray,Dowell Loggains,Titans,13,2013
Mike Munchak,Jerry Gray,Dowell Loggains,Titans,14,2013
Mike Munchak,Jerry Gray,Dowell Loggains,Titans,15,2013
Mike Munchak,Jerry Gray,Dowell Loggains,Titans,16,2013
Mike Munchak,Jerry Gray,Dowell Loggains,Titans,17,2013
Ken Whisenhunt,Ray Horton,Jason Michael,Titans,1,2014
Ken Whisenhunt,Ray Horton,Jason Michael,Titans,2,2014
Ken Whisenhunt,Ray Horton,Jason Michael,Titans,3,2014
Ken Whisenhunt,Ray Horton,Jason Michael,Titans,4,2014
Ken Whisenhunt,Ray Horton,Jason Michael,Titans,5,2014
Ken Whisenhunt,Ray Horton,Jason Michael,Titans,6,2014
Ken Whisenhunt,Ray Horton,Jason Michael,Titans,7,2014
Ken Whisenhunt,Ray Horton,Jason Michael,Titans,8,2014
Ken Whisenhunt,Ray Horton,Jason Michael,Titans,9,2014
